Date,Time,Size,Price
"Mar 1, 2024",6:32 AM,US M 10.5,"$2,206"
"Feb 29, 2024",7:39 PM,US M 10.5,"$2,315"
"Feb 29, 2024",10:59 AM,US M 10.5,"$1,845"
"Feb 29, 2024",9:17 AM,US M 10.5,"$1,819"
"Feb 28, 2024",1:52 PM,US M 10.5,"$2,299"
"Feb 27, 2024",3:05 PM,US M 10.5,"$2,079"
"Feb 26, 2024",3:43 PM,US M 10.5,"$1,900"
"Feb 26, 2024",4:17 AM,US M 10.5,"$1,800"
"Feb 25, 2024",7:10 PM,US M 10.5,"$2,330"
"Feb 20, 2024",7:55 PM,US M 10.5,"$1,755"
"Feb 19, 2024",6:44 AM,US M 10.5,"$1,750"
"Feb 17, 2024",4:22 PM,US M 10.5,"$1,757"
"Feb 16, 2024",3:47 PM,US M 10.5,"$1,654"
"Feb 16, 2024",12:32 PM,US M 10.5,"$1,700"
"Feb 13, 2024",2:11 PM,US M 10.5,"$1,766"
"Feb 13, 2024",7:30 AM,US M 10.5,"$1,700"
"Feb 11, 2024",3:41 PM,US M 10.5,"$2,068"
"Feb 6, 2024",7:52 PM,US M 10.5,"$1,769"
"Feb 6, 2024",8:02 AM,US M 10.5,"$1,634"
"Feb 2, 2024",12:36 PM,US M 10.5,"$1,840"
"Feb 2, 2024",6:35 AM,US M 10.5,"$1,629"
"Jan 31, 2024",1:13 PM,US M 10.5,"$1,800"
"Jan 30, 2024",7:36 AM,US M 10.5,"$1,675"
"Jan 29, 2024",4:12 PM,US M 10.5,"$1,686"
"Jan 26, 2024",2:33 PM,US M 10.5,"$1,850"
"Jan 25, 2024",2:08 PM,US M 10.5,"$1,830"
"Jan 23, 2024",4:37 AM,US M 10.5,"$1,786"
"Jan 19, 2024",8:02 PM,US M 10.5,"$1,800"
"Jan 18, 2024",6:07 PM,US M 10.5,"$1,798"
"Jan 18, 2024",12:02 PM,US M 10.5,"$1,799"
"Jan 17, 2024",10:56 AM,US M 10.5,"$2,281"
"Jan 10, 2024",5:41 PM,US M 10.5,"$1,725"
"Jan 6, 2024",7:37 AM,US M 10.5,"$2,008"
"Jan 4, 2024",9:20 PM,US M 10.5,"$1,850"
"Jan 4, 2024",6:04 AM,US M 10.5,"$1,943"
"Jan 3, 2024",2:21 PM,US M 10.5,"$1,550"
"Jan 2, 2024",6:55 PM,US M 10.5,"$1,825"
"Jan 2, 2024",8:30 AM,US M 10.5,"$1,913"
"Dec 31, 2023",12:59 PM,US M 10.5,"$1,840"
"Dec 31, 2023",11:34 AM,US M 10.5,"$1,520"
"Dec 26, 2023",6:09 AM,US M 10.5,"$1,750"
"Dec 24, 2023",12:54 PM,US M 10.5,"$1,750"
"Dec 22, 2023",3:31 PM,US M 10.5,"$1,884"
"Dec 20, 2023",8:27 PM,US M 10.5,"$1,700"
"Dec 19, 2023",3:32 PM,US M 10.5,"$1,540"
"Dec 18, 2023",3:45 AM,US M 10.5,"$1,714"
"Dec 13, 2023",1:37 AM,US M 10.5,"$1,416"
"Dec 12, 2023",10:44 PM,US M 10.5,"$1,599"
"Dec 12, 2023",3:20 PM,US M 10.5,"$1,338"
"Dec 11, 2023",12:14 AM,US M 10.5,"$1,808"
