Date,Time,Size,Price
"<p class=""chakra-text css-2bkegz"">Mar 1, 2024</p>","<p class=""chakra-text css-2bkegz"">6:32 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,206</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 29, 2024</p>","<p class=""chakra-text css-2bkegz"">7:39 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,315</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 29, 2024</p>","<p class=""chakra-text css-2bkegz"">10:59 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,845</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 29, 2024</p>","<p class=""chakra-text css-2bkegz"">9:17 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,819</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 28, 2024</p>","<p class=""chakra-text css-2bkegz"">1:52 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,299</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 27, 2024</p>","<p class=""chakra-text css-2bkegz"">3:05 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,079</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 26, 2024</p>","<p class=""chakra-text css-2bkegz"">3:43 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,900</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 26, 2024</p>","<p class=""chakra-text css-2bkegz"">4:17 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,800</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 25, 2024</p>","<p class=""chakra-text css-2bkegz"">7:10 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,330</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 20, 2024</p>","<p class=""chakra-text css-2bkegz"">7:55 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,755</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 19, 2024</p>","<p class=""chakra-text css-2bkegz"">6:44 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,750</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 17, 2024</p>","<p class=""chakra-text css-2bkegz"">4:22 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,757</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 16, 2024</p>","<p class=""chakra-text css-2bkegz"">3:47 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,654</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 16, 2024</p>","<p class=""chakra-text css-2bkegz"">12:32 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,700</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 13, 2024</p>","<p class=""chakra-text css-2bkegz"">2:11 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,766</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 13, 2024</p>","<p class=""chakra-text css-2bkegz"">7:30 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,700</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 11, 2024</p>","<p class=""chakra-text css-2bkegz"">3:41 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,068</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 6, 2024</p>","<p class=""chakra-text css-2bkegz"">7:52 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,769</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 6, 2024</p>","<p class=""chakra-text css-2bkegz"">8:02 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,634</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 2, 2024</p>","<p class=""chakra-text css-2bkegz"">12:36 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,840</p></p>"
"<p class=""chakra-text css-2bkegz"">Feb 2, 2024</p>","<p class=""chakra-text css-2bkegz"">6:35 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,629</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 31, 2024</p>","<p class=""chakra-text css-2bkegz"">1:13 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,800</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 30, 2024</p>","<p class=""chakra-text css-2bkegz"">7:36 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,675</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 29, 2024</p>","<p class=""chakra-text css-2bkegz"">4:12 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,686</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 26, 2024</p>","<p class=""chakra-text css-2bkegz"">2:33 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,850</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 25, 2024</p>","<p class=""chakra-text css-2bkegz"">2:08 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,830</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 23, 2024</p>","<p class=""chakra-text css-2bkegz"">4:37 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,786</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 19, 2024</p>","<p class=""chakra-text css-2bkegz"">8:02 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,800</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 18, 2024</p>","<p class=""chakra-text css-2bkegz"">6:07 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,798</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 18, 2024</p>","<p class=""chakra-text css-2bkegz"">12:02 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,799</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 17, 2024</p>","<p class=""chakra-text css-2bkegz"">10:56 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,281</p></p>"
